Primary Site,Mutation to Gene,Percent Affected,Survival Estimate
Bronchus and lung, 1.184, 0.016,0.9960542503954537
Bronchus and lung, 1.168, 0.004,0.9940799109496747
Bronchus and lung, 1.106, 0.003,0.9930927412267853
Bronchus and lung, 1.192, 0.003,0.9930927412267853
Bronchus and lung, 1.178, 0.003,0.9921045892454651
Bronchus and lung, 1.207, 0.001,0.9921045892454651
Bronchus and lung, 1.176, 0.002,0.9921045892454651
Bronchus and lung, 1.193, 0.002,0.9921045892454651
Bronchus and lung, 1.177, 0.001,0.9921045892454651
Bronchus and lung, 1.180, 0.002,0.9901223622939257
Bronchus and lung, 1.168, 0.003,0.9901223622939257
Bronchus and lung, 1.094, 0.055,0.9901223622939257
Bronchus and lung, 1.133, 0.001,0.9901223622939257
Bronchus and lung, 1.177, 0.001,0.9901223622939257
Bronchus and lung, 1.098, 0.009,0.9901223622939257
Bronchus and lung, 1.122, 0.001,0.9901223622939257
Bronchus and lung, 1.167, 0.008,0.9891252602170939
Bronchus and lung, 1.131, 0.005,0.9881281581402622
Bronchus and lung, 1.147, 0.007,0.9871310560634305
Bronchus and lung, 1.135, 0.023,0.9861339539865988
Bronchus and lung, 1.106, 0.002,0.9851368519097671
Bronchus and lung, 1.113, 0.001,0.9851368519097671
Bronchus and lung, 1.157, 0.007,0.9841387395978018
Bronchus and lung, 1.086, 0.010,0.9841387395978018
Bronchus and lung, 1.126, 0.001,0.9841387395978018
Bronchus and lung, 1.170, 0.002,0.9841387395978018
Bronchus and lung, 1.150, 0.001,0.9841387395978018
Bronchus and lung, 1.167, 0.001,0.9841387395978018
Bronchus and lung, 1.145, 0.001,0.9841387395978018
Bronchus and lung, 1.166, 0.002,0.9841387395978018
Bronchus and lung, 1.114, 0.002,0.9831334906298776
Bronchus and lung, 1.106, 0.001,0.9821282416619534
Bronchus and lung, 1.136, 0.015,0.9821282416619534
Bronchus and lung, 1.125, 0.001,0.9821282416619534
Bronchus and lung, 1.158, 0.006,0.9821282416619534
Bronchus and lung, 1.119, 0.003,0.9821282416619534
Bronchus and lung, 1.115, 0.002,0.9811188601186216
Bronchus and lung, 1.126, 0.005,0.9811188601186216
Bronchus and lung, 1.131, 0.001,0.9811188601186216
Bronchus and lung, 1.153, 0.001,0.9811188601186216
Bronchus and lung, 1.113, 0.009,0.9811188601186216
Bronchus and lung, 1.181, 0.003,0.9801053075771767
Bronchus and lung, 1.155, 0.003,0.9801053075771767
Bronchus and lung, 1.113, 0.001,0.9801053075771767
Bronchus and lung, 1.131, 0.002,0.9790896544087029
Bronchus and lung, 1.121, 0.000,0.9780740012402291
Bronchus and lung, 1.115, 0.001,0.9780740012402291
Bronchus and lung, 1.145, 0.001,0.977057292299231
Bronchus and lung, 1.101, 0.001,0.9760405833582327
Bronchus and lung, 1.112, 0.000,0.9760405833582327
Bronchus and lung, 1.116, 0.001,0.9760405833582327
Bronchus and lung, 1.120, 0.000,0.9760405833582327
Bronchus and lung, 1.106, 0.002,0.9760405833582327
Bronchus and lung, 1.079, 0.002,0.9760405833582327
Bronchus and lung, 1.104, 0.004,0.9760405833582327
Bronchus and lung, 1.097, 0.000,0.9760405833582327
Bronchus and lung, 1.121, 0.000,0.9760405833582327
Bronchus and lung, 1.101, 0.001,0.9760405833582327
Bronchus and lung, 1.139, 0.000,0.9760405833582327
Bronchus and lung, 1.113, 0.000,0.9750131722178556
Bronchus and lung, 1.101, 0.000,0.9750131722178556
Bronchus and lung, 1.114, 0.002,0.9739846773104527
Bronchus and lung, 1.125, 0.003,0.9739846773104527
Bronchus and lung, 1.111, 0.005,0.9729550951991308
Bronchus and lung, 1.139, 0.001,0.9729550951991308
Bronchus and lung, 1.129, 0.006,0.9719244224287927
Bronchus and lung, 1.148, 0.005,0.9719244224287927
Bronchus and lung, 1.079, 0.002,0.9719244224287927
Bronchus and lung, 1.110, 0.003,0.9719244224287927
Bronchus and lung, 1.089, 0.001,0.9719244224287927
Bronchus and lung, 1.093, 0.001,0.970889359146121
Bronchus and lung, 1.111, 0.003,0.9698542958634492
Bronchus and lung, 1.073, 0.001,0.9688192325807774
Bronchus and lung, 1.090, 0.001,0.9677841692981056
Bronchus and lung, 1.095, 0.000,0.9677841692981056
Bronchus and lung, 1.125, 0.002,0.9667479978106344
Bronchus and lung, 1.092, 0.001,0.9657118263231632
Bronchus and lung, 1.086, 0.002,0.9646756548356921
Bronchus and lung, 1.095, 0.001,0.9636394833482209
Bronchus and lung, 1.106, 0.003,0.9636394833482209
Bronchus and lung, 1.083, 0.012,0.9626021964985457
Bronchus and lung, 1.086, 0.001,0.9615649096488705
Bronchus and lung, 1.112, 0.003,0.9615649096488705
Bronchus and lung, 1.085, 0.002,0.9615649096488705
Bronchus and lung, 1.103, 0.003,0.9615649096488705
Bronchus and lung, 1.100, 0.001,0.9615649096488705
Bronchus and lung, 1.079, 0.001,0.9605231275149064
Bronchus and lung, 1.112, 0.001,0.9605231275149064
Bronchus and lung, 1.109, 0.001,0.9605231275149064
Bronchus and lung, 1.114, 0.002,0.9594790806371728
Bronchus and lung, 1.057, 0.001,0.9594790806371728
Bronchus and lung, 1.083, 0.010,0.9573909868817057
Bronchus and lung, 1.088, 0.001,0.956346940003972
Bronchus and lung, 1.113, 0.002,0.956346940003972
